Date,variant,net,stop_pts
2022-12-05,adr30,357.5,14.75
2022-12-05,atr,357.5,12.0
2022-12-05,hybMax,357.5,14.75
2022-12-05,hybMax15,357.5,17.75
2022-12-05,expand,357.5,14.75
2022-12-06,adr30,707.5,16.0
2022-12-06,atr,707.5,18.0
2022-12-06,hybMax,707.5,18.0
2022-12-06,hybMax15,707.5,27.0
2022-12-06,expand,707.5,16.0
2022-12-06,adr30,807.5,16.0
2022-12-06,atr,807.5,16.25
2022-12-06,hybMax,807.5,16.25
2022-12-06,hybMax15,807.5,24.25
2022-12-06,expand,807.5,16.5
2022-12-06,adr30,270.0,16.0
2022-12-06,atr,270.0,16.5
2022-12-06,hybMax,270.0,16.5
2022-12-06,hybMax15,270.0,25.0
2022-12-06,expand,270.0,18.25
2022-12-09,adr30,-917.5,18.0
2022-12-09,atr,995.0,28.0
2022-12-09,hybMax,995.0,28.0
2022-12-09,hybMax15,995.0,42.0
2022-12-09,expand,-917.5,18.0
2022-12-09,adr30,-917.5,18.0
2022-12-09,atr,-980.0,19.25
2022-12-09,hybMax,-980.0,19.25
2022-12-09,hybMax15,-1455.0,28.75
2022-12-09,expand,-917.5,18.0
2022-12-09,adr30,-917.5,18.0
2022-12-09,atr,-767.5,15.0
2022-12-09,hybMax,-917.5,18.0
2022-12-09,hybMax15,-1142.5,22.5
2022-12-09,expand,-917.5,18.0
2022-12-12,adr30,-967.5,19.0
2022-12-12,atr,-567.5,11.0
2022-12-12,hybMax,-967.5,19.0
2022-12-12,hybMax15,-967.5,19.0
2022-12-12,expand,-967.5,19.0
2022-12-19,adr30,945.0,20.25
2022-12-19,atr,945.0,16.25
2022-12-19,hybMax,945.0,20.25
2022-12-19,hybMax15,945.0,24.5
2022-12-19,expand,945.0,20.25
2022-12-19,adr30,970.0,20.25
2022-12-19,atr,970.0,14.75
2022-12-19,hybMax,970.0,20.25
2022-12-19,hybMax15,970.0,22.25
2022-12-19,expand,970.0,20.25
2022-12-28,adr30,1795.0,20.0
2022-12-28,atr,1795.0,22.25
2022-12-28,hybMax,1795.0,22.25
2022-12-28,hybMax15,1795.0,33.25
2022-12-28,expand,1795.0,20.0
2023-01-11,adr30,1132.5,17.75
2023-01-11,atr,1132.5,9.25
2023-01-11,hybMax,1132.5,17.75
2023-01-11,hybMax15,1132.5,17.75
2023-01-11,expand,1132.5,17.75
2023-01-12,adr30,-917.5,18.0
2023-01-12,atr,-1292.5,25.5
2023-01-12,hybMax,-1292.5,25.5
